tanggal,curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tma_sungai_m,tma_kolam_m,pompa_1,pompa_2,pompa_3,banjir
2022-12-05,27.5,23.5,134.18,,,,,,
2022-12-06,6.5,20,129.41,,,,,,
2022-12-07,30,21,116.51,,,,,,
2022-12-08,14,21,123.81,,,,,,
2022-12-09,,,113.7,,,,,,
2022-12-10,,0,98.87,,,,,,
2022-12-11,0,3.5,88.49,,,,,,
2022-12-12,53.5,35,126.2,,,,,,
2022-12-13,0,,121.46,,,,,,
2022-12-14,8.5,0,98.98,,,,,,
2022-12-15,10,19,107.39,,,,,,
2022-12-16,14.5,0,113.3,,,,,,
2022-12-17,3,17,121,,,,,,
2022-12-18,20,23,130.98,,,,,,
2022-12-19,0,,127.66,,,,,,
2022-12-20,5.5,0,112.71,,,,,,
2022-12-21,,0,100.09,,,,,,
2022-12-22,0,0,86.74,,,,,,
2022-12-23,,,81.15,,,,,,
2022-12-24,8.5,9,75.33,,,,,,
2022-12-25,5.5,5.5,75.6,,,,,,
2022-12-26,16,17.5,80.69,,,,,,
2022-12-27,,0,98.42,,,,,,
2022-12-28,0,0,78.83,,,,,,
2022-12-29,,11.5,73.64,,,,,,
2022-12-30,0,0,79.95,,,,,,
2022-12-31,,0,77,,,,,,
2023-01-01,0,0,56.48,,,,,,
2023-01-02,0,2,50.13,,,,,,
2023-01-03,,0,47.59,,,,,,
2023-01-04,7,8,44.69,,,,,,
2023-01-05,,0,45.4,,,,,,
2023-01-06,,,43.53,,,,,,
2023-01-07,,,42.16,,,,,,
2023-01-08,,2,41.89,,,,,,
2023-01-09,,1.5,42.95,,,,,,
2023-01-10,,0,54.71,,,,,,
2023-01-11,0,0,52.65,,,,,,
2023-01-12,,,46.19,,,,,,
2023-01-13,,,46.22,,,,,,
2023-01-14,1,1.5,43.69,,,,,,
2023-01-15,,0,42.04,,,,,,
2023-01-16,,,52.49,,,,,,
2023-01-17,,,48.12,,2.68,,,,
2023-01-18,8.5,6.5,52.35,,3.60,,,,
2023-01-19,,,59.8,,2.86,,,,
2023-01-20,,0,51.87,,2.42,,,,
2023-01-21,19,15.5,58.8,,4.24,,,,
2023-01-22,0,0,66,,3.56,,,,
2023-01-23,4,9,53.95,,3.08,,,,
2023-01-24,0,1,67.05,,2.94,,,,
2023-01-25,9.5,9,67.69,,3.90,,,,
2023-01-26,0,0,62.58,,3.50,,,,
2023-01-27,,0,52.95,,2.48,,,,
2023-01-28,6.5,5.5,45.75,,2.56,,,,
2023-01-29,,,49.11,,2.66,,,,
2023-01-30,,,45.14,,2.66,,,,
2023-01-31,,,43.21,,2.52,,,,
2023-02-01,0,0,42.18,,2.56,,,,
2023-02-02,,,41.28,,2.34,,,,
2023-02-03,,0,39.6,,2.78,,,,
2023-02-04,0,0,40.31,,2.26,,,,
2023-02-05,,,39.73,,2.52,,,,
2023-02-06,,,38.57,,2.44,,,,
2023-02-07,,,37.08,,2.34,,,,
2023-02-08,,,36.74,,2.42,,,,
2023-02-09,0,1,36.19,,2.70,,,,
2023-02-10,13,14.5,38.24,,2.68,,,,
2023-02-11,12,12,47.62,,2.68,,,,
2023-02-12,7.5,3.5,54.93,,3.80,,,,
2023-02-13,6,5,49.63,,2.84,,,,
2023-02-14,6,6,44.49,,2.50,,,,
2023-02-15,8.5,7,43.42,,2.77,,,,
2023-02-16,1.5,1,44.3,,,,,,
2023-02-17,5.5,5.5,45.6,,,,,,
2023-02-18,1,1.5,44.05,,,,,,
2023-02-19,,0,43.7,,,,,,
2023-02-20,0,1,44,,2.42,,,,
2023-02-21,0,,42.63,,2.90,,,,
2023-02-22,0,,41.96,,3.50,,,,
2023-02-23,16,5,40.51,,2.88,,,,
2023-02-24,34,30.5,51.94,,2.44,,,,
2023-02-25,1.5,1,53.95,,3.06,,,,
2023-02-26,19,18,48.07,,2.54,,,,
2023-02-27,2.5,1.5,55.96,,2.28,,,,
2023-02-28,0,0,49.59,,3.38,,,,
2023-03-01,,19.5,44.35,,2.95,,,,
2023-03-02,,0,52.13,,2.83,,,,
2023-03-03,,11.5,49.44,,2.63,,,,
2023-03-04,,,43.26,,2.77,,,,
2023-03-05,,,41.16,,3.17,,,,
2023-03-06,,,40.04,,2.72,,,,
2023-03-07,,,42.2,,2.60,,,,
2023-03-08,,,46.24,,2.80,,,,
2023-03-09,,13,45.95,,3.43,,,,
2023-03-10,,32,50.71,,5.13,,,,
2023-03-11,,,55.37,,2.43,,,,
2023-03-12,,,43.38,,2.80,,,,
2023-03-13,,,38.76,,2.78,,,,
2023-03-14,,7,36.94,,2.68,,,,
2023-03-15,,10,39.38,,3.48,,,,
2023-03-16,,,39.11,,3.95,,,,
2023-03-17,,66.5,42.41,,0.00,,,,
2023-03-18,,0,67.87,,3.85,,,,
2023-03-19,,10,55.06,,3.12,,,,
2023-03-20,,24.5,54.38,,3.60,,,,
2023-03-21,,16.5,66.8,,4.27,,,,
2023-03-22,,35.5,71.29,,5.27,,,,
2023-03-23,,4.5,90.55,,5.42,,,,
2023-03-24,,35,76,,4.62,,,,
2023-03-25,,90,77.86,,4.80,,,,
2023-03-26,,36,80.62,,5.75,,,,
2023-03-27,,0,94.84,,5.25,,,,
2023-03-28,,,76.15,,5.42,,,,
2023-03-29,,0,61.36,,3.97,,,,
2023-03-30,,0,55.03,,2.55,,,,
2023-03-31,,8,51.12,,3.55,,,,
2023-04-01,0,1,60.38,,3.32,,,,
2023-04-02,5,14,55.17,,3.85,,,,
2023-04-03,,0,58.46,,3.88,,,,
2023-04-04,,,46.51,,3.37,,,,
2023-04-05,,,43.9,,3.62,,,,
2023-04-06,,,44.55,,2.42,,,,
2023-04-07,,0,40.66,,2.62,,,,
2023-04-08,,,45.7,,4.30,,,,
2023-04-09,,,41.88,,2.92,,,,
2023-04-10,3,2.5,42.09,,2.52,,,,
2023-04-11,,4.5,41.09,,2.40,,,,
2023-04-12,5,4,40.78,,3.37,,,,
2023-04-13,,,45.52,,2.70,,,,
2023-04-14,31.5,20,45.62,,2.55,,,,
2023-04-15,,,71.08,,2.70,,,,
2023-04-16,0,2,61.15,1.40,2.68,,,,
2023-04-17,14,5.5,57.43,1.40,3.37,,,,
2023-04-18,9,10,48.24,1.28,2.75,,,,
2023-04-19,,0,46.19,1.37,3.07,,,,
2023-04-20,7,16.5,47.48,1.30,2.53,,,,
2023-04-21,23,31.5,44.29,1.23,2.75,,,,
2023-04-22,,,46.59,1.25,2.80,,,,
2023-04-23,42.5,32,43.86,1.23,2.93,,,,
2023-04-24,,24.5,45.59,1.22,3.50,,,,
2023-04-25,5.5,12,53.76,1.20,3.45,,,,
2023-04-26,88.5,4.5,53.11,1.28,3.45,,,,
2023-04-27,,,53.33,1.43,3.88,,,,
2023-04-28,37,23,52.09,1.25,2.77,,,,
2023-04-29,,0,60.41,1.18,2.87,,,,
2023-04-30,16.5,14,51.46,1.33,2.83,,,,
2023-05-01,0,0,79.69,3.67,3.70,,,,
2023-05-02,,,54.03,3.47,2.93,,,,
2023-05-03,31.5,31,60.96,4.30,3.03,,,,
2023-05-04,9.5,46,87.97,4.98,4.00,,,,
2023-05-05,23.5,16.5,98.39,5.20,6.00,,,,
2023-05-06,2,0,115.9,5.88,1.87,,,,
2023-05-07,50,15,90.61,5.25,6.55,,,,
2023-05-08,40,14,85.95,5.10,6.00,,,,
2023-05-09,,0,85.86,4.88,4.97,,,,
2023-05-10,,0,66.47,4.15,2.40,,,,
2023-05-11,,0,57.03,4.08,2.98,,,,
2023-05-12,,,52.4,4.10,3.08,,,,
2023-05-13,1,0,55.34,4.20,2.73,,,,
2023-05-14,,,53.23,3.53,2.88,,,,
2023-05-15,,,45.14,3.20,2.34,,,,
2023-05-16,,,42.74,3.10,2.88,,,,
2023-05-17,,,41.34,3.10,2.92,,,,
2023-05-18,,,40.31,3.07,2.53,,,,
2023-05-19,,,40,3.05,2.39,,,,
2023-05-20,,6,39.99,3.00,2.42,,,,
2023-05-21,23,16.5,44.93,2.33,2.52,,,,
2023-05-22,39,34,44.82,1.97,2.63,,,,
2023-05-23,,0,40.88,3.30,2.87,,,,
2023-05-24,14.5,27,39.62,3.12,2.97,,,,
2023-05-25,0,0,38.74,3.33,2.81,,,,
2023-05-26,,,37.12,3.99,2.87,,,,
2023-05-27,,,37.04,2.79,2.62,,,,
2023-05-28,,,36.84,3.40,2.84,,,,
2023-05-29,5.5,,34.39,2.79,2.59,,,,
2023-05-30,,,42.26,2.90,2.70,,,,
2023-05-31,,,40.43,2.84,2.50,,,,
2023-06-01,,,34.86,2.70,2.30,,,,
2023-06-02,,,33.62,2.70,2.57,,,,
2023-06-03,12.5,0,34.19,2.87,2.86,,,,
2023-06-04,6,3,34.13,2.96,2.89,,,,
2023-06-05,16,14.5,43.67,2.17,3.50,,,,
2023-06-06,16,0,46.66,2.31,2.43,,,,
2023-06-07,,,39.14,2.56,2.88,,,,
2023-06-08,,,36.58,2.87,2.71,,,,
2023-06-09,,,35.26,2.80,2.64,,,,
2023-06-10,,,33.63,2.75,2.69,,,,
2023-06-11,,,32.52,2.74,2.85,,,,
2023-06-12,,,32.06,2.70,2.55,,,,
2023-06-13,0,,31.6,2.64,2.50,,,,
2023-06-14,8.5,7,31.32,2.60,2.68,,,,
2023-06-15,3,1.5,31.79,2.64,2.95,,,,
2023-06-16,37.5,50,37.29,2.99,3.51,,,,
2023-06-17,,0,44.71,3.06,2.89,,,,
2023-06-18,,,42.04,3.10,2.54,,,,
2023-06-19,15.5,11.5,40.85,2.36,3.21,,,,
2023-06-20,,0,66.61,3.60,2.23,,,,
2023-06-21,,,50.66,3.60,2.26,,,,
2023-06-22,,,42.1,3.00,2.43,,,,
2023-06-23,79.5,25,38.07,3.40,2.75,,,,
2023-06-24,0,,37.15,3.12,3.15,,,,
2023-06-25,18,11.5,36.88,3.09,2.69,,,,
2023-06-26,,,41.85,3.03,2.65,,,,
2023-06-27,28,23,43.18,3.27,3.28,,,,
2023-06-28,,,42.48,3.34,2.61,,,,
2023-06-29,,,37.05,2.70,2.73,,,,
2023-06-30,,,35.13,2.70,2.72,,,,
2023-07-01,,0,33.22,2.60,2.5,,,,
2023-07-02,11.5,20,34.18,2.60,2.3,,,,
2023-07-03,,,33.28,2.60,2.8,,,,
2023-07-04,2,1.5,32.37,2.63,2.3,,,,
2023-07-05,,2,32.89,2.87,2.1,,,,
2023-07-06,,3.5,38.83,3.00,2.2,,,,
2023-07-07,,,37.93,3.00,3.4,,,,
2023-07-08,28,29.5,37.71,2.82,2.8,,,,
2023-07-09,,,47.32,3.43,3.0,,,,
2023-07-10,,,39.66,3.10,2.8,,,,
2023-07-11,,,36.05,3.55,2.3,,,,
2023-07-12,,,33.88,2.80,2.2,,,,
2023-07-13,,,31.78,2.80,2.3,,,,
2023-07-14,,,31.09,3.60,2.5,,,,
2023-07-15,,,30.33,2.60,2.4,,,,
2023-07-16,,,29.87,2.63,2.2,,,,
2023-07-17,,,29.9,2.55,2.8,,,,
2023-07-18,,,29,2.60,1.6,,,,
2023-07-19,,,28.21,3.60,2.7,,,,
2023-07-20,,,27.3,2.50,3.0,,,,
2023-07-21,,,28.32,2.50,2.5,,,,
2023-07-22,,,29.09,2.50,2.5,,,,
2023-07-23,,,27.45,2.50,2.0,,,,
2023-07-24,,,27.73,2.53,2.6,,,,
2023-07-25,,,28.43,2.53,2.3,,,,
2023-07-26,6,13.5,33.49,2.74,2.3,,,,
2023-07-27,,,31.21,2.90,2.7,,,,
2023-07-28,,,28.99,2.88,3.1,,,,
2023-07-29,,,27.56,2.45,1.9,,,,
2023-07-30,,,27.4,2.45,2.9,,,,
2023-07-31,,,27.28,2.45,2.2,,,,
2023-08-01,,,29.38,2.45,2.2,,,,
2023-08-02,,0,27.84,2.45,2.8,,,,
2023-08-03,,,28.73,2.45,1.8,,,,
2023-08-04,,,28.41,2.45,2.7,,,,
2023-08-05,,,27.5,2.45,3.2,,,,
2023-08-06,,,27.47,2.45,2.7,,,,
2023-08-07,14.5,0,27.19,2.45,2.5,,,,
2023-08-08,,,27.57,2.50,2.3,,,,
2023-08-09,,,27.15,2.50,2.1,,,,
2023-08-10,,,27.45,2.47,2.9,,,,
2023-08-11,,,27.03,2.45,2.9,,,,
2023-08-12,,,27.08,2.45,1.7,,,,
2023-08-13,,,26.13,2.45,1.4,,,,
2023-08-14,,,26.52,2.45,2.3,,,,
2023-08-15,,,26.47,2.45,2.9,,,,
2023-08-16,,,25.84,2.45,1.3,,,,
2023-08-17,,,25.86,2.45,2.2,,,,
2023-08-18,,,25.41,2.45,2.1,,,,
2023-08-19,,,25.25,2.45,2.4,,,,
2023-08-20,,,25.24,2.45,3.1,,,,
2023-08-21,,,25.56,2.45,2.6,,,,
2023-08-22,,,25.25,2.45,2.3,,,,
2023-08-23,,,25.22,2.45,2.6,,,,
2023-08-24,,,25.79,2.45,2.9,,,,
2023-08-25,,,24.82,2.45,2.0,,,,
2023-08-26,,,15.1,2.48,2.8,,,,
2023-08-27,0,0,14.2,2.43,2.3,,,,
2023-08-28,,,14.81,2.45,2.0,,,,
2023-08-29,,,24.78,2.48,3.0,,,,
2023-08-30,,,25.68,2.50,1.9,,,,
2023-08-31,,,25.35,2.50,1.9,,,,
2023-09-01,,,24.4,2.50,3.36,,,,
2023-09-02,,,14.37,2.50,1.88,,,,
2023-09-03,,,17.1,2.50,1.76,,,,
2023-09-04,,,18.2,2.47,2.90,,,,
2023-09-05,,,14.42,2.45,2.89,,,,
2023-09-06,,,13.62,2.50,2.12,,,,
2023-09-07,,,13.62,2.50,2.59,,,,
2023-09-08,,,13.62,2.50,3.33,,,,
2023-09-09,,,13.62,2.50,2.59,,,,
2023-09-10,,,13.62,2.50,2.35,,,,
2023-09-11,,,13.62,2.46,3.10,,,,
2023-09-12,,,13.63,2.50,2.46,,,,
2023-09-13,,,13.63,2.46,2.37,,,,
2023-09-14,,,13.63,2.50,3.05,,,,
2023-09-15,,,13.63,2.50,3.06,,,,
2023-09-16,,,17.16,2.45,1.67,,,,
2023-09-17,,,17.98,2.45,2.20,,,,
2023-09-18,,,14.4,2.45,3.15,,,,
2023-09-19,,,13.64,2.45,2.09,,,,
2023-09-20,,1,13.64,2.45,2.21,,,,
2023-09-21,,,18.32,1.45,3.08,,,,
2023-09-22,,,27.07,1.45,2.88,,,,
2023-09-23,,,25.98,1.45,2.30,,,,
2023-09-24,,,24.72,1.45,2.88,,,,
2023-09-25,,,20.6,1.45,2.95,,,,
2023-09-26,,,20.59,2.45,1.90,,,,
2023-09-27,,,17.76,2.45,2.57,,,,
2023-09-28,,,14.36,2.45,3.28,,,,
2023-09-29,,,17.04,2.45,1.96,,,,
2023-09-30,,,14.37,2.45,1.83,,,,
2023-10-01,,,14.37,2.45,2.95,,,,
2023-10-02,,,19.73,2.45,2.43,,,,
2023-10-03,,,13.66,2.20,1.99,,,,
2023-10-04,,,13.66,2.45,2.64,,,,
2023-10-05,,,13.66,2.45,3.06,,,,
2023-10-06,,,13.66,2.45,2.01,,,,
2023-10-07,,,13.66,2.45,2.01,,,,
2023-10-08,,,13.67,2.45,2.57,,,,
2023-10-09,,,14.67,2.45,3.14,,,,
2023-10-10,0,,23.18,2.46,1.74,,,,
2023-10-11,,,25.76,2.46,2.74,,,,
2023-10-12,,,18.98,2.46,3.36,,,,
2023-10-13,,,17.98,2.45,3.16,,,,
2023-10-14,,,13.68,2.45,1.64,,,,
2023-10-15,,,13.68,2.45,2.53,,,,
2023-10-16,,,13.68,2.45,3.48,,,,
2023-10-17,,,14.44,2.45,2.32,,,,
2023-10-18,,,26.77,2.45,1.63,,,,
2023-10-19,,,25.97,2.45,2.35,,,,
2023-10-20,7,58,26.04,2.45,2.74,,,,
2023-10-21,,,25.94,2.45,2.11,,,,
2023-10-22,14.5,4.5,28.06,2.45,1.56,,,,
2023-10-23,5,11,29.39,2.45,2.61,,,,
2023-10-24,29,3.5,42.92,2.89,2.61,,,,
2023-10-25,20.5,14.5,38.83,2.71,1.74,,,,
2023-10-26,,,34.71,2.45,2.15,,,,
2023-10-27,,,30.71,2.45,2.44,,,,
2023-10-28,,,27.97,2.90,2.26,,,,
2023-10-29,,,27.59,2.45,1.95,,,,
2023-10-30,,,26.84,2.45,2.59,,,,
2023-10-31,0,,27.12,2.45,2.33,,,,
2023-11-01,,,27.27,2.45,2.42,,,,
2023-11-02,,,28.07,2.45,2.74,,,,
2023-11-03,1,,27.99,2.45,2.33,,,,
2023-11-04,,,32.11,2.45,2.74,,,,
2023-11-05,,,29.37,2.45,3.14,,,,
2023-11-06,,,28.47,2.45,1.80,,,,
2023-11-07,,,28.21,2.45,2.11,,,,
2023-11-08,0,,27.45,2.45,1.68,,,,
2023-11-09,,,27.4,2.45,2.00,,,,
2023-11-10,,,26.83,2.45,2.44,,,,
2023-11-11,5,0,29.59,2.49,3.14,,,,
2023-11-12,15,13,34.32,2.57,3.09,,,,
2023-11-13,0.5,35,32.84,3.12,2.54,,,,
2023-11-14,34,,32.34,2.90,2.88,,,,
2023-11-15,,19.5,36.22,2.92,2.19,,,,
2023-11-16,19,24,37.85,2.51,3.49,,,,
2023-11-17,22,,41.27,2.45,2.64,,,,
2023-11-18,1,,35.6,2.46,2.65,,,,
2023-11-19,,,33.19,2.49,2.09,,,,
2023-11-20,,,30.9,2.46,2.52,,,,
2023-11-21,3.5,0,29.71,2.58,2.23,,,,
2023-11-22,2,7,30.41,2.60,3.05,,,,
2023-11-23,1,,30.86,5.94,2.91,,,,
2023-11-24,11,18.5,30.09,3.69,2.86,,,,
2023-11-25,,0,37.74,2.85,2.61,,,,
2023-11-26,12,10.5,36.09,3.11,3.16,,,,
2023-11-27,30.5,67,46.52,,,,,,
2023-11-28,26,17,54.09,,,,,,
2023-11-29,,,39.93,,,,,,
2023-11-30,21,21.5,40.34,,,,,,
2023-12-01,7.5,5,93.54,,,,,,
2023-12-02,1,4,61.84,,,,,,
2023-12-03,21,113.5,42.14,,,,,,
2023-12-04,2.5,3,43.43,,,,,,
2023-12-05,66,54,45.03,,,,,,
2023-12-06,8.5,10,43.86,,,,,,
2023-12-07,,,49.09,,,,,,
2023-12-08,19,48,43.16,,,,,,
2023-12-09,3,,53.93,,,,,,
2023-12-10,4.5,21,49.31,,,,,,
2023-12-11,,1.5,49.85,,,,,,
2023-12-12,,,56.98,,,,,,
2023-12-13,,,45.23,,,,,,
2023-12-14,,0,42.62,,,,,,
2023-12-15,,1,42.67,,,,,,
2023-12-16,58,66,39.52,,,,,,
2023-12-17,,6,45.4,,,,,,
2023-12-18,9.5,0,45.89,,,,,,
2023-12-19,,,45.02,,,,,,
2023-12-20,,,40.97,,,,,,
2023-12-21,,,39.59,,,,,,
2023-12-22,,,40.08,,,,,,
2023-12-23,6.5,0,51.13,,,,,,
2023-12-24,15,,77.19,,,,,,
2023-12-25,52.5,26,85.88,,,,,,
2023-12-26,4,15,84.82,,,,,,
2023-12-27,7,2.5,98.07,,,,,,
2023-12-28,15,15,94.45,,,,,,
2023-12-29,19.5,20,76.01,,,,,,
2023-12-30,18.5,12.5,69.24,,,,,,
2023-12-31,33,15,88.94,,,,,,
